                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.0073,                0.92247,                 1.3081,                 0.8404,                0.77221,                0.87147,                0.62063,                 1.0522,                0.90376,                 1.4627,              0.0012507,              0.0012507,              0.0012507
                     65,                0.96724,                0.86959,                 1.2697,                 0.8035,                0.75833,                0.87213,                0.62181,                 1.0458,                0.91758,                 1.4775,              0.0012479,              0.0012479,              0.0012479
                     66,                0.92046,                0.89032,                  1.241,                0.82081,                0.71497,                0.83544,                0.58294,                 1.0806,                0.93598,                 1.4344,              0.0012451,              0.0012451,              0.0012451
                     67,                0.93482,                0.90372,                 1.2445,                0.82851,                0.76295,                0.85344,                0.59682,                 1.0658,                0.92604,                 1.4341,              0.0012423,              0.0012423,              0.0012423
                     68,                0.93011,                0.89028,                 1.2544,                0.81547,                0.86353,                0.87532,                0.61515,                 1.0804,                 0.8821,                 1.4663,              0.0012394,              0.0012394,              0.0012394
                     69,                0.95223,                0.85444,                 1.2592,                0.86303,                 0.8443,                0.90146,                0.63608,                 1.0444,                0.81667,                 1.4215,              0.0012366,              0.0012366,              0.0012366
                     70,                0.87316,                0.80346,                 1.2237,                0.83831,                0.83231,                0.89461,                0.63827,                0.99889,                0.81413,                 1.3811,              0.0012338,              0.0012338,              0.0012338
                     71,                0.92422,                0.82874,                 1.2594,                0.83522,                0.85453,                0.87534,                0.61063,                 1.0532,                 0.8813,                 1.4264,              0.0012309,              0.0012309,              0.0012309
                     72,                0.96291,                0.85526,                 1.2974,                0.73579,                0.89439,                0.87941,                0.61419,                 1.0817,                0.98851,                 1.4624,              0.0012281,              0.0012281,              0.0012281
                     73,                0.88913,                0.80302,                 1.2451,                0.76645,                0.85292,                 0.8676,                0.61499,                 1.0447,                0.90028,                 1.4213,              0.0012253,              0.0012253,              0.0012253
                     74,                0.89272,                0.77606,                 1.2326,                0.77898,                0.81126,                0.83634,                0.59901,                 1.0607,                0.88484,                 1.4253,              0.0012225,              0.0012225,              0.0012225
                     75,                0.91321,                0.83416,                 1.2557,                0.72878,                0.78837,                0.82118,                0.60473,                0.98649,                0.91841,                 1.3593,              0.0012196,              0.0012196,              0.0012196
